Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, D3",0603,2,RX,
"C1, C2",0805,2,1u,
"C10, C8, C9",0603,3,1u,
"C11, C13, C14, C3, C4, C5, C6, C7",0603,8,0.1u,
C12,0805,1,22u,
"D2, D7",D_SOD-123F,2,SS2040FL,
D4,0603,1,ERROR,
D5,0603,1,BUS-OFF,
D6,0603,1,ACK,
J1,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,CAN,x
J2,IDC-Header_2x03_P2.54mm_Vertical,1,STLINK,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C,
LCD1,AQM1602Y-NLW,1,AQM1602Y-NLW-FBW,
"R1, R2, R3, R4, R5",0603,5,1k,
"R10, R9",0603,2,5.1k,
R11,0603,1,120,
R6,0603,1,10k,
"R7, R8",0603,2,4.7k,
S1,SSSS213202,1,SSSS213202,
SW1,TS-06104,1,MODE,
SW2,TS-06104,1,BUS-OFF_RESET,
SW3,TS-06104,1,TEST,
SW4,TVAF06-A020B-R,1,RESET,
U1,TSOT-23-5,1,RT9080-33GJ5,
U2,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U3,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U4,SOIC8_4P9X3P9MC_MCH,1,ATA6561-GAQW-N,
