Designator,Mid X,Mid Y,Rotation,Layer
3V3,146.51,-104.92,90.0,top
C1,133.175,-63.01,90.0,bottom
C10,163.655,-76.98,180.0,bottom
C11,132.54,-99.84,90.0,bottom
C12,152.86,-54.755,90.0,bottom
C13,150.955,-54.755,90.0,bottom
C14,144.605,-58.565,180.0,bottom
C2,140.795,-63.01,90.0,bottom
C3,134.445,-79.52,0.0,bottom
C4,136.35,-71.9,270.0,bottom
C5,143.97,-63.645,180.0,bottom
C6,139.525,-71.9,270.0,bottom
C7,168.735,-76.98,180.0,bottom
C8,168.735,-78.885,180.0,bottom
C9,159.845,-77.615,90.0,bottom
D2,132.54,-93.49,90.0,bottom
D3,154.13,-91.585,180.0,top
D4,160.48,-91.585,180.0,top
D5,166.83,-91.585,180.0,top
D6,180.165,-91.585,180.0,top
D7,138.89,-98.57,270.0,bottom
J1,137.62,-58.835,180.0,top
J2,135.8325,-89.685,180.0,top
J3,136.35,-106.19,0.0,top
LCD1,167.465,-73.775,0.0,top
R1,146.51,-107.46,270.0,bottom
R10,137.62,-107.46,270.0,bottom
R11,137.62,-56.66,180.0,bottom
R2,178.26,-79.52,90.0,bottom
R3,180.8,-79.52,90.0,bottom
R4,183.34,-79.52,90.0,bottom
R5,185.88,-79.52,90.0,bottom
R6,137.62,-69.36,180.0,bottom
R7,172.545,-71.9,270.0,bottom
R8,175.085,-71.9,270.0,bottom
R9,135.08,-107.46,270.0,bottom
S1,151.59,-80.79,180.0,top
SW1,163.655,-80.79,180.0,top
SW2,166.83,-99.205,90.0,top
SW3,180.165,-99.205,90.0,top
SW4,134.445,-79.52,90.0,top
U1,136.985,-63.01,0.0,bottom
U2,138.89,-68.09,0.0,top
U3,135.08,-99.84,0.0,bottom
U4,146.51,-54.755,0.0,bottom
